fold,epoch,train_loss,train_acc,val_loss,val_acc,lr
2,1,5.185680278791021,0.012630785182392308,4.955891847408252,0.02544529262086514,0.001
2,2,4.865998759302525,0.03270807804694128,4.727739751490624,0.04580152671755725,0.0009938441702975688
2,3,4.665638324238823,0.04533886322933359,4.530101451760536,0.06785411365564037,0.0009755282581475768
2,4,4.50771644443782,0.06136299368460741,4.379939478468955,0.09499575911789652,0.0009455032620941839
2,5,4.363944477090648,0.08304269959468376,4.2649402088589135,0.10008481764206956,0.0009045084971874737
2,6,4.263615689074041,0.0905834668677538,4.141836631894617,0.12213740458015267,0.0008535533905932737
2,7,4.1751849519868225,0.09906683004995759,4.110759570499514,0.11195928753180662,0.0007938926261462366
2,8,4.121436297337311,0.10698463568668112,4.002847585362636,0.1594571670907549,0.0007269952498697733
2,9,4.031209353194272,0.1251767367329626,4.00803047646093,0.14927905004240882,0.0006545084971874737
2,10,3.9747141860457074,0.13366009991516636,3.9360279046043285,0.15860899067005937,0.0005782172325201155
2,11,3.9267118497397786,0.1427090206428504,3.8153940260258645,0.17557251908396945,0.0005
2,12,3.889039531056579,0.1473277405976058,3.8472724312741033,0.17896522476675147,0.0004217827674798847
2,13,3.85883341043224,0.15665944009802998,3.8501540233362923,0.17726887192536048,0.00034549150281252633
2,14,3.8180251369176075,0.1588274106890376,3.7228556172740572,0.21034775233248515,0.00027300475013022663
2,15,3.7766043032605636,0.1714581958714299,3.762856392864457,0.1967769296013571,0.00020610737385376348
2,16,3.7735636287994487,0.17635969459892545,3.7033187273298918,0.21628498727735368,0.00014644660940672625
2,17,3.7551713666251585,0.17711377132623243,3.7247490203410916,0.20780322307039864,9.549150281252631e-05
2,18,3.7406363072387685,0.1826750871901216,3.6983518001889655,0.2205258693808312,5.4496737905816096e-05
2,19,3.7296733867437792,0.18616269205391647,3.7199725898470892,0.20780322307039864,2.447174185242323e-05
2,20,3.724840415705047,0.1803185974172872,3.7672698483616744,0.1984732824427481,6.15582970243117e-06
